NameR366,MasterID_...2,SampleIDNO,Watersourcetype,watersourcetype2,Dateofvisit2,Division,Parish,Villagetown,Sampletaken,Riskofcontamination10,Topography,LandcoverUnDevelopedorDeveloped,Turbidity,pH,Temp_°C,Electricalconductivity,functionalV1,knownfunctionalproblem,SampleIDNO_R366,MasterID__A,NameR366_A,MasterID__B,__1_1WaterSourceNameNyingwangpii,InterviewersCode,CompletedDateddmmNinodweemakitye,_1_1_WaterSourceIdentificationN,MasterID__C,_1_1name,_1_1subcounty,_1_1Parish,_1_2_a_WUCmgmt,_1_2_b_privmgt,_1_2_c_NGOmgmt,_1_2_d_Unmanaged,_1_7Acholi,_1_7English,_1_7LangOther,_1_9_Positionrespond,_2_1_responsible,_2_2_a_Caretaker,_2_2_b_ caretakerpaid,_2_2_c_ caretakerwage,_2_2_d_caretakerhours,_2_3_inspectorvisits,_2_4WUCAdmin,_2_4WUCfeecollect,_2_4WUCfinmgmt,_2_4WUCtechnical,_2_4WUCother,_2_5_meetatt,_2_6_meetsched,_2_7_ meetmonth,_2_8_meetcommunity,_2_9_meetminutes,_2_10_minutesviewed,_2_11_WUCpay80,_2_12_a_ pubmeet,_2_12_b_pubmeetyear,_2_13_a_meetaccount,_2_13_b_meetaccountyr,_3_1_a_functional,functionalinferred,_3_1_b_openallday,_3_1_c_opentimes,_3_1_d_primaryuse,_3_1_e_whynffees,_3_1_e_whynffinmgmt,_3_1_e_whynfctech,_3_1_e_whynfadmin,_3_1_e_whynfother,_3_1_e_whynfotherB,_3_1_f_Howlongnf,_3_2_firstdaylastbreak,_3_3_a_lengthbreakdown,_3_3_b_costrepair,_3_3_d_nowater,_3_3_d_notenoughwater,_3_3_d_contaminated,_3_3_d_otherproblem,_3_4_a_breaklastyear,_3_4_b_breaklast2weeks,_3_5_a_pplcantaccess,_3_5_b_pplcantafford,_3_5_c_useunimproved,_3_5_c_neighborhelp,_3_5_c_dontknow,_3_5_c_other,_3_6_enoughwater,_4_0_yearbuilt,_4_1_datebuilt,_4_2_regularuserhhs,_4_3_a_authorizedlist,_4_3_b_authorizedhhs,AuthorizedusersdividedbyAllUsers,_4_3_c_updateduserlist,_4_3_d_listshown,__4_3_e_Howmanyhouseholdsareonth,VerifiedusersdividedbyAllUsers,_4_4_feecollectionsystem,_4_5_feeregular,_4_6_a_monthlyfee,_4_6_a_perJCfee,_4_6_a_otherfeetype,_4_6_a_otherfeetypeB,_4_6_b_percentfeesmonthly,_4_6_b_percentfeesperJC,_4_6_b_percentfeesother,_4_6_b_percentfeesdontknow,_4_7_HHswhopaid,_4_8_idealfeecollection,Idealfeesdividedbyallusers,_4_9_actualmonthlyfees,Actualfeesdividedbyidealfees,reportedfeesdividedbyallusers,_4_10_knownHHscantpay,_4_11_a_feecollectrecords,_4_11_b_feerecordsshown,_4_11_c_recordedfeeslastmonth,verifiedfeesdividedbyallusers,_4_12_reactive,_4_13_reportedsavings,_4_14_a_finmgmtrecords,_4_24_b_finmgmtrecshown,_4_14_b_namenumber,_4_14_c_verifiedsavings,__4_14_cDateofrecord,__4_15_savingsstorage,_4_15_savingsstorageother,_4_16_fencing,_4_16_sanitation,_4_16_dontknow,_4_16_fundsaccumulate,_4_16_preventmaint,_4_16_refunds,_4_16_neverrepair,_4_16_othernonwash,_4_16_othernonwashB,_4_17_planOandM,_4_18_enoughfundsrepair,_4_19_personrepair,_4_20_persontrained,_5_0_latrineaccess,_5_1_a_facilitator,_5_1_b_facilitatoryear,_5_1_b_facilitatordate,_5_1_c_whofacilitated,_5_1_c_whofacilitatedother,_5_2_a_ODFdeclaration,_5_2_b_ODFwhen,_6_1_irritated,_6_2_trustworthy,_6_3_interviewquality,_6_4_familypresent,_6_4_nonfamilypresent,_6_4_Totalpresent,_6_5_comments,TTC,TTCGE1,TTCGE10,TTCGE50,TTCGE100,TTCGE125,Unmanaged,MasterID_...165,Superclean_ID,latitude,longitude,OBJECTID2,Proxalt,ProxNWSC,Proxaltfunc,ProxaltfuncNWSC,Proxbore,Proxfuncbore,Proxprotect,Proxfuncprotect,ProxfuncprotectNWSC,ProxTC,Proxmarsh,ProxfunctTTC<125,ProxfunctprotectTTC<125,ProxfunctprotectTTC<125NWSC,Avgprox3func,Avgprox3funcNWSC,Avgprox3funcprotect,Avgprox3funcprotectNWSC
Eagle N/P School,1,1,BHWHP,1,2/26/18,Laroo,Forest,Forest,1,4,1,0,0,5.48,25,67 us/33ppm,1,0,1,1,Eagle N/P School,1,EAGLE NURSERY AND PRIMARY BH,3,25/9,1,1,EAGLE NURSERY AND PRIMARY BH,1,1,NA,NA,1,0,NA,1,NA,8,9,1,1,150000,240,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,HELPED BY THEIR FRIENDS AND TEACHERS,1,2016,2016,100,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,75,1,2018,21/9/2018,GovernmentGamente,DISTRICT HEALTH INSPECTOR,0,NA,0,1,0,0,1,1,THE RESPONDENT IS THE HEAD TEACHER OF THE NURSERY SECTION. THE HEAD TEACHER OF THE PRIMARY SECTION TRAVELED FOR BURIAL,9.5,1,0,0,0,0,0,1,328,2.785716667,32.32338333,330,223.4119381,291.1667265,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,3234.629772,470.8071447,223.4119381,223.4119381,223.4119381,342.3784891,272.2439609,342.3784891,272.2439609
Low cost borehole,2,2,BHWHP,1,2/26/18,Laroo,Forest,Forest,1,6,1,0,0,5.37,27.1,47us/23ppm,1,0,2,2,Low cost borehole,2,LOW COST BH,3,25/9,2,2,LOW COST BH,1,1,1,NA,NA,0,1,NA,NA,1,2,1,1,25000,330,0,1,1,1,1,NA,5,0,1,100,1,NA,NA,1,6,0,NA,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,15/8/2018,4,NA,1,NA,NA,NA,1,0,2,1,NA,NA,NA,GET HELP FROM CHILDREN AND NEIGHBORS,1,NA,Don’t knowPe angeyo,25,1,30,1.2,1,"YES, but the records are held by someone else - I will share their information with you (indicate the information in the spaces below)",27,1.08,1,1,1000,NA,NA,NA,100,NA,NA,NA,27,27000,1080,27000,1,1080,7,1,"YES, but the records are held by someone else.  The name and phone number of the contact person are as follows:",27000,1080,3,0,1,NA,GEORGE,0,19/8/2018,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,0,100,0,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,1,1,SHE LOST HER PHONE  RECORD ARE WITH THE CARETAKER  MY PHONE BATTERY WAS OFF WHEN I CONDUCTED THE INTERVIEW,0,0,0,0,0,0,0,2,335,2.7846,32.32505,337,223.4119381,402.1045171,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,223.4119381,3342.958477,416.323442,223.4119381,223.4119381,223.4119381,300.4693882,300.4693882,300.4693882,300.4693882
Wang Latek,3,3,PS,5,2/26/18,Laroo,Forest,Forest,1,6,0,0,0,5.09,26.7,43us/ 22ppm,1,1,3,3,Wang Latek,3,WANG LATEK,3,25/9,3,3,WANG LATEK,1,1,1,NA,NA,0,1,NA,NA,5,2,1,0,NA,120,3,1,NA,NA,NA,NA,3,1,0.083,100,0,NA,0,0,NA,0,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,Don’t knowPe angeyo,Don’t knowPe angeyo,NA,NA,NA,NA,1,2003,2003,100,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,100,1,Don't know Pe angeyo,Don't know Pe angeyo,NGODul ma pe jenge ikom gamente,WORLD VISION,1,Don't knowPe angeyo,0,1,0,1,4,6,THE NEW WATER SOURCE COMMITTEE IS NOT YET CONSTITUTED SINCE AFTER ELECTION OF LC 1 IN JULY 2018. THE WUC IS APPOINTED BY THE LC 1,11,1,1,0,0,0,0,3,334,2.78215,32.32431667,336,285.0032512,341.5742286,285.0032512,285.0032512,285.0032512,285.0032512,285.0032512,285.0032512,285.0032512,3158.967053,132.2108263,285.0032512,285.0032512,285.0032512,354.1239223,331.0272573,434.3966937,345.8139011
Wang Lalur,4,4,HDW,3,2/26/18,Laroo,Pece Prison,Pece Prison,1,9,0,0,0,5.22,29.1,52us/ 26ppm,1,1,4,4,Wang Lalur,4,WANG LALUR ODW,0,13/9,4,4,WANG LALUR ODW,1,1,NA,NA,NA,1,1,NA,NA,6,8,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,"ASK FOR HELP, HIRE SERVICE",0,2015,2015,1500,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,3,3,NA,12.5,1,1,0,0,0,1,4,314,2.78125,32.32115,316,230.7229336,220.9231734,230.7229336,220.9231734,258.9154358,314.5124762,258.9154358,265.509274,265.509274,2794.535564,75.14272599,265.509274,265.509274,265.509274,250.1263932,235.2643596,315.5086808,254.330587
Wang Ayoli,5,5,BHWHP? check,1,2/26/18,Laroo,Pece Prison,Forest,1,10,0,1,0,5.15,26.9,72us/ 36ppm,1,NA,5,5,Wang Ayoli,5,WANG AYOLI,3,25/9,5,5,WANG AYOLI,1,1,NA,1,NA,0,1,NA,NA,3,6,1,0,NA,360,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,HELPED BY THEIR GRAND CHILDREN,1,2000,2000,60,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,1,3,4,AYOLI WAS VERY DRUNK AT THE TIME OF INTERVIEW SO HE COULDN'T GIVE RESPONSE. CARETAKER IS THE SON,0,0,0,0,0,0,0,5,301,2.780366667,32.31846667,304,53.95976742,166.7799075,53.95976742,53.95976742,208.2609229,350.5490551,53.95976742,53.95976742,53.95976742,2480.942266,0,53.95976742,53.95976742,53.95976742,164.8196464,144.3845821,205.6409646,144.3845821
Wang Celle Spring,6,7,US,6,2/27/18,Laroo,Pece Prison,Pece Prison,1,8,0,1,1,5.37,26.8,100us/50ppm,1,NA,7,6,Wang Celle Spring,6,WANG CELLE SPRING,4,24/08,6,6,WANG CELLE SPRING,1,1,NA,NA,NA,1,1,NA,NA,5,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,SEND GOOD SAMARITANS,1,NA,Don’t knowPe angeyo,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,1,1,2,NA,125,1,1,1,1,1,1,6,310,2.7792,32.32015,312,21.15639383,333.5277571,190.9112673,190.9112673,21.15639383,228.0851003,21.15639383,190.9112673,190.9112673,2610.1193,8.732194989,190.9112673,190.9112673,190.9112673,203.6414517,203.6414517,213.3113559,213.3113559
Wang Celle BH,7,8,BHWHP,1,2/27/18,Laroo,Pece Prison,Pece Prison,0,NA,0,0,NA,NA,NA,non functional,NA,NA,8,7,Wang Celle BH,7,WANG CELLE BOREHOLE,4,24/8,7,7,WANG CELLE BOREHOLE,1,1,1,NA,NA,0,1,1,NA,5,2,0,NA,NA,NA,0,1,1,1,1,NA,NA,3,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1080,Don’t knowPe angeyo,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,Send children,0,1940,1940,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,0,7,307,2.77925,32.31996667,22,21.15639383,319.3579816,21.15639383,21.15639383,208.2609229,208.2609229,203.1516601,203.1516601,203.1516601,2592.590559,6.152964687,203.1516601,203.1516601,203.1516601,142.6224673,142.6224673,204.9906436,204.9906436
Wang Ocii,8,9,US,6,2/27/18,Laroo,Pece Prison,Pece Prison,1,8,0,1,1,5.61,27.7,158us/79ppm,1,0,9,8,Wang Ocii,8,WANG OCII,4,24/08,8,8,WANG OCII,1,1,NA,NA,NA,1,1,NA,NA,5,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,Send children,1,NA,Don’t knowPe angeyo,20,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,1,1,2,NA,125,1,1,1,1,1,1,8,321,2.779333333,32.32193333,323,199.0753877,448.7252359,199.0753877,199.0753877,219.1270157,312.148247,219.1270157,242.1788802,242.1788802,2803.396764,0,230.7229336,242.1788802,242.1788802,223.9924005,223.9924005,309.0545271,309.0545271
Wang Atim BH,9,10,BH,1,2/27/18,Laroo,Pece Prison,Pece Prison,1,5,0,1,0,5.62,29.3,47us/24ppm,1,1,10,9,Wang Atim BH,9,WANG ATIM BOREHOLE,4,24/08,10,235,WANG ATIM BOREHOLE,1,1,1,NA,NA,0,1,1,NA,3,2,1,0,NA,160,0,1,1,NA,1,NA,5,0,1,60,1,2,0,1,NA,1,NA,1,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,3/6/18,84,110000,NA,1,NA,NA,1,0,2,2,NA,NA,NA,SEND PEOPLE WITH HUMANITARIAN HEART,1,2013,2013,40,1,50,1.25,0,1,NA,NA,1,1,2000,NA,NA,NA,100,NA,NA,NA,50,1.00E+05,2500,1.00E+05,1,2500,2,1,1,1.00E+05,2500,3,90000,1,2,NA,80000,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,0,1,1,0,1,NA,0,0,0,0,0,0,0,9,285,2.778616667,32.31585,289,19.38736186,481.8681821,19.38736186,19.38736186,155.1983743,155.1983743,143.1464844,155.1983743,155.1983743,2137.766686,9.92822534,155.1983743,155.1983743,155.1983743,113.820816,113.820816,224.208047,224.208047
Wang Atim Spring,10,11,US,6,2/27/18,Laroo,Pece Prison,Pece Prison,1,5,0,1,0,5.45,26.5,73us/ 37ppm,1,0,11,10,Wang Atim Spring,10,WANG ATIM SPRING,4,24/08,10,236,WANG ATIM SPRING,1,1,1,NA,NA,0,1,1,NA,4,2,0,NA,NA,NA,0,1,1,1,1,NA,5,1,1,60,1,2,1,0,0,0,NA,1,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,Send children,1,NA,Don’t knowPe angeyo,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,0,1,1,NA,125,1,1,1,1,1,0,10,283,2.778783333,32.3158,288,19.38736186,472.0336271,19.38736186,19.38736186,19.38736186,19.38736186,19.38736186,19.38736186,19.38736186,2139.346295,0,19.38736186,19.38736186,19.38736186,110.9519208,110.9519208,110.9519208,110.9519208
